id,cycle,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,s1,s2
1,1,518.67,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100,641.82,39.06,23.419,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,-0.0007,-0.0004
1,2,518.67,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100,642.15,39.0,23.4236,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,0.0019,-0.0003
1,3,518.67,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100,642.35,38.95,23.3442,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,-0.0043,0.0003
1,4,518.67,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100,642.35,38.88,23.3739,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,0.0007,0.0
1,5,518.67,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100,642.37,38.9,23.4044,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,-0.0019,-0.0002
1,6,518.67,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100,642.1,38.98,23.3669,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,-0.0043,-0.0001
1,7,518.67,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100,642.48,39.1,23.3774,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,0.001,0.0001
1,8,518.67,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100,642.56,38.97,23.3106,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,-0.0034,0.0003
1,9,518.67,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100,642.12,39.05,23.4066,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,0.0008,0.0001
1,10,518.67,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100,641.71,38.95,23.4694,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,-0.0033,0.0001
1,11,518.67,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100,642.28,38.94,23.4787,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,0.0018,-0.0003
1,12,518.67,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100,642.06,39.06,23.366,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,0.0016,0.0002
1,13,518.67,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,2388,100,643.07,38.93,23.2757,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,-0.0019,0.0004
1,14,518.67,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,2388,100,642.35,39.18,23.3826,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,0.0009,0.0
1,15,518.67,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,2388,100,642.43,38.99,23.35,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,-0.0018,-0.0003
