status,driver_id,dttm
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-18 20:51:22.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-18 21:15:52.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-18 22:49:08.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-18 23:10:37.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 00:39:03.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 01:10:02.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 01:16:04.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 01:41:03.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 02:01:16.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 03:27:45.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 04:04:24.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 04:26:54.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 05:58:49.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 06:26:33.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 06:28:09.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 06:46:52.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 08:00:21.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 08:17:12.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 09:04:20.620339
ontrip,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 09:12:57.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 10:09:45.620339
busy,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 10:25:46.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 10:43:40.620339
enroute,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 10:45:57.620339
free,8f174ffd446c456eaf3cca0915d0368d,2018-02-19 11:54:21.620339
